U+E124	辶	走之儿
U+E125	鲃*䰾	鲃
U+E126	萇	苌|萇
U+E127	髁	髁
U+E128	蘷	夔
U+E129	甪	甪里
U+E12A	莆	莆
U+E12B	蘄	蕲|蘄
U+E12C	蘧	蘧
U+E12D	冉	冉|冄
U+E12E	茹	茹
U+E12F	芮	芮
U+E131	莘	莘
U+E132	螣	螣蛇
U+E133	遆	遆
U+E135	蔿	|蒍|蔿
U+E136	乀	捺
U+E13C	7̣	一
U+E181	*噹	当|當|噹
U+E183	𩾌*鱇	
U+E18E	㘥	囮子
U+E190	䴘*鷉	
U+E196	*鱚	沙钻鱼
U+E19B	*騠	
U+E1A1	*鶗	
U+E1B0	䲢*鰧	虎鱼
U+E1C2	䓖*藭	川芎
U+E1C6	䗪	地鳖
U+E1D8	𤝽	
U+E1DF	㱮*殨	溃
U+E1E6	{火乚}	煤
U+E1EB	*顦	
U+E1F9	䦆*钁	镢
U+E1FE	*櫽	栝
U+E20E	*蝜	蝂
U+E218	*饠	|饆
U+E21F	*綷	
U+E234	㶉*鸂	
U+E241	䦶*䦛	
U+E247	*瑽	琤|琤
U+E24E	*輨	轪
U+E257	*蝀	|螮|蝃
U+E258	*瓅	玓
U+E26F	㠾	
U+E280	*轇	
U+E295	𤞶	犴
U+E2A4	*餦	
U+E2A5	*尵	虺
U+E2A6	*隤	虺
U+E2AD	㹢	
U+E2BE	䴖*鶄	
U+E2D2	䇭	
U+E2D6	𤰚	
U+E2DC	𠼟	|圐
U+E2E3	*崙	崑
U+E2F2	*鱮	鲢
U+E2F5	蹡	踉
U+E2FC	㑩*儸	偻|僂
U+E313	𠊟*黾	俛
U+E329	卼	臲
U+E338	䟡	跰
U+E38B	䰀	鬌
U+E3BF	㺄*貐	猰|
U+E3DB	*鷟	|鸑
U+E416	𤣥	缺笔
U+E417	皶	齇|皻
U+E428	*駬	
U+E42B	𣗋*欓	簕
U+E42D	𣘗	八角枫
U+E437	*鶆	美州鸵
U+E438	*䴈	美州鸵
U+E43B	*蟷	螲
U+E444	*鰊	鲱
U+E44C	枔	小叶白蜡树
U+E451	𠳼	宋
U+E452	𠰴	叻
U+E453	*𡑍	圪
U+E458	𩠉*𩜇	卷|捲|
U+E45A	{hollow大}	双钩
U+E45B	︗	鱼尾号
U+E45C	︻	鱼尾号
U+E45D	𡧇	路徽
U+E45E	✓	勾|句
U+E46F	↔	母亲
U+E470	(画)	吖
U+E47D	ṃ	吽
